pairID,predicted_label
2677109430.jpg#1r1n,0.0
2677109430.jpg#1r1e,1.0
2677109430.jpg#1r1c,0.0
6160193920.jpg#4r1n,1.0
6160193920.jpg#4r1e,2.0
6160193920.jpg#4r1c,1.0
4791890474.jpg#3r1e,1.0
4791890474.jpg#3r1n,2.0
4791890474.jpg#3r1c,1.0
6526219567.jpg#4r1n,0.0
6526219567.jpg#4r1e,1.0
6526219567.jpg#4r1c,0.0
2832076014.jpg#2r1n,2.0
2832076014.jpg#2r1e,1.0
2832076014.jpg#2r1c,0.0
1034985636.jpg#3r1c,0.0
1034985636.jpg#3r1e,1.0
1034985636.jpg#3r1n,2.0
3856149623.jpg#1r1e,2.0
3856149623.jpg#1r1c,0.0
3856149623.jpg#1r1n,1.0
3827316480.jpg#0r1c,0.0
3827316480.jpg#0r1e,1.0
3827316480.jpg#0r1n,2.0
2946464027.jpg#0r1n,2.0
2946464027.jpg#0r1c,0.0
2946464027.jpg#0r1e,1.0
3572548523.jpg#4r1e,1.0
3572548523.jpg#4r1n,2.0
3572548523.jpg#4r1c,0.0
4460943467.jpg#0r1c,0.0
4460943467.jpg#0r1n,2.0
4460943467.jpg#0r1e,1.0
2096485764.jpg#0r1e,1.0
2096485764.jpg#0r1n,2.0
2096485764.jpg#0r1c,0.0
4679111230.jpg#2r1n,0.0
4679111230.jpg#2r1e,1.0
4679111230.jpg#2r1c,0.0
2892843393.jpg#1r1e,1.0
2892843393.jpg#1r1n,2.0
2892843393.jpg#1r1c,0.0
4923271886.jpg#2r1c,0.0
4923271886.jpg#2r1e,0.0
4923271886.jpg#2r1n,0.0
2972268289.jpg#4r1n,2.0
2972268289.jpg#4r1c,1.0
4770171876.jpg#0r1e,2.0
4770171876.jpg#0r1n,0.0
4770171876.jpg#0r1c,0.0
351765604.jpg#0r1n,1.0
351765604.jpg#0r1e,0.0
351765604.jpg#0r1c,2.0
847782643.jpg#0r1n,0.0
847782643.jpg#0r1c,1.0
847782643.jpg#0r1e,1.0
3020218156.jpg#2r1e,0.0
3020218156.jpg#2r1c,1.0
3020218156.jpg#2r1n,1.0
3036382555.jpg#0r1e,0.0
3036382555.jpg#0r1c,2.0
3036382555.jpg#0r1n,2.0
407008823.jpg#3r1n,1.0
407008823.jpg#3r1e,2.0
407008823.jpg#3r1c,1.0
3364026240.jpg#3r1e,2.0
3364026240.jpg#3r1n,0.0
3364026240.jpg#3r1c,0.0
3437522515.jpg#3r1c,0.0
3437522515.jpg#3r1n,1.0
3437522515.jpg#3r1e,0.0
2936881937.jpg#4r1c,1.0
2936881937.jpg#4r1e,2.0
2936881937.jpg#4r1n,1.0
2936881937.jpg#2r1c,1.0
2936881937.jpg#2r1e,2.0
2936881937.jpg#2r1n,1.0
2936881937.jpg#0r1n,1.0
2936881937.jpg#0r1e,1.0
2936881937.jpg#0r1c,1.0
4499295511.jpg#0r1n,0.0
4499295511.jpg#0r1c,1.0
4499295511.jpg#0r1e,1.0
2876232980.jpg#0r1e,1.0
2876232980.jpg#0r1c,1.0
2876232980.jpg#0r1n,0.0
2508019949.jpg#0r1c,0.0
2508019949.jpg#0r1n,1.0
2508019949.jpg#0r1e,2.0
3338217927.jpg#2r1n,0.0
3338217927.jpg#2r1c,1.0
3338217927.jpg#2r1e,2.0
264460711.jpg#2r1n,1.0
264460711.jpg#2r1e,0.0
264460711.jpg#2r1c,0.0
6082587848.jpg#1r1c,1.0
6082587848.jpg#1r1e,2.0
6082587848.jpg#1r1n,1.0
6082587848.jpg#3r1n,1.0
6082587848.jpg#3r1e,0.0
6082587848.jpg#3r1c,2.0
6979303317.jpg#0r1n,1.0
6979303317.jpg#0r1e,0.0
6979303317.jpg#0r1c,1.0
4114589329.jpg#0r1e,1.0
4114589329.jpg#0r1n,1.0
4114589329.jpg#2r1e,1.0
4114589329.jpg#2r1c,0.0
4114589329.jpg#2r1n,1.0
2147876139.jpg#4r1n,1.0
2147876139.jpg#4r1e,2.0
2147876139.jpg#4r1c,0.0
2622986361.jpg#2r1n,0.0
2622986361.jpg#2r1e,2.0
2622986361.jpg#2r1c,1.0
4963234016.jpg#4r1n,0.0
4963234016.jpg#4r1e,0.0
4963234016.jpg#4r1c,1.0
3661659196.jpg#3r1c,2.0
3661659196.jpg#3r1e,0.0
3661659196.jpg#3r1n,0.0
4926115712.jpg#1r1n,2.0
4926115712.jpg#1r1c,0.0
4512171349.jpg#2r1n,2.0
4512171349.jpg#2r1e,1.0
4512171349.jpg#2r1c,0.0
4512171349.jpg#1r1n,1.0
4512171349.jpg#1r1e,1.0
4512171349.jpg#1r1c,1.0
4801146545.jpg#2r1c,2.0
4801146545.jpg#2r1n,1.0
4801146545.jpg#2r1e,0.0
7591663030.jpg#4r1n,2.0
7591663030.jpg#4r1e,0.0
7591663030.jpg#4r1c,2.0
5389902618.jpg#2r1e,1.0
5389902618.jpg#2r1c,0.0
5389902618.jpg#2r1n,2.0
7249180494.jpg#0r1e,0.0
7249180494.jpg#0r1c,1.0
7249180494.jpg#0r1n,0.0
7249180494.jpg#1r1n,2.0
7249180494.jpg#1r1e,0.0
7249180494.jpg#1r1c,1.0
4234824441.jpg#2r1n,2.0
4234824441.jpg#2r1c,0.0
4234824441.jpg#2r1e,0.0
1680409989.jpg#0r1n,1.0
1680409989.jpg#0r1e,2.0
1680409989.jpg#0r1c,0.0
1680409989.jpg#3r1e,1.0
1680409989.jpg#3r1n,0.0
1680409989.jpg#3r1c,1.0
4581834644.jpg#1r1c,2.0
4581834644.jpg#1r1n,0.0
4581834644.jpg#1r1e,1.0
4684641618.jpg#0r1n,2.0
4684641618.jpg#0r1c,0.0
4684641618.jpg#0r1e,0.0
525338588.jpg#0r1n,1.0
525338588.jpg#0r1e,2.0
525338588.jpg#0r1c,2.0
2487069642.jpg#1r1e,1.0
2487069642.jpg#1r1n,0.0
2487069642.jpg#1r1c,2.0
1384292980.jpg#1r1e,0.0
1384292980.jpg#1r1c,1.0
1384292980.jpg#1r1n,1.0
216172386.jpg#0r1c,1.0
216172386.jpg#0r1e,0.0
216172386.jpg#0r1n,0.0
2245918465.jpg#1r1e,1.0
2245918465.jpg#1r1c,0.0
2245918465.jpg#1r1n,0.0
2289096282.jpg#1r1e,2.0
2289096282.jpg#1r1c,0.0
2289096282.jpg#1r1n,1.0
3167503189.jpg#2r1n,0.0
3167503189.jpg#2r1c,1.0
3167503189.jpg#2r1e,2.0
7523563426.jpg#0r1c,1.0
7523563426.jpg#0r1e,1.0
7523563426.jpg#0r1n,0.0
3626642428.jpg#3r1n,0.0
3626642428.jpg#3r1e,1.0
3626642428.jpg#3r1c,0.0
4859630545.jpg#1r1c,1.0
4859630545.jpg#1r1n,2.0
4859630545.jpg#1r1e,0.0
288351324.jpg#4r1e,1.0
288351324.jpg#4r1n,2.0
288351324.jpg#4r1c,0.0
2398915100.jpg#3r1e,1.0
2398915100.jpg#3r1n,0.0
2398915100.jpg#3r1c,2.0
4361879526.jpg#4r1e,0.0
4361879526.jpg#4r1c,0.0
4361879526.jpg#4r1n,1.0
3335501468.jpg#2r1c,0.0
3335501468.jpg#2r1n,2.0
4928783075.jpg#1r1e,1.0
4928783075.jpg#1r1n,0.0
4928783075.jpg#1r1c,1.0
4846892973.jpg#0r1n,2.0
4846892973.jpg#0r1e,0.0
4846892973.jpg#0r1c,1.0
4923472130.jpg#2r1e,1.0
4923472130.jpg#2r1n,1.0
4923472130.jpg#2r1c,1.0
2348557363.jpg#4r1c,1.0
2348557363.jpg#4r1e,2.0
2348557363.jpg#4r1n,1.0
3439382048.jpg#3r1c,1.0
3439382048.jpg#3r1e,1.0
3439382048.jpg#3r1n,0.0
1354318519.jpg#1r1e,0.0
1354318519.jpg#1r1n,2.0
1354318519.jpg#1r1c,2.0
484443289.jpg#1r1e,1.0
484443289.jpg#1r1c,0.0
484443289.jpg#1r1n,1.0
484443289.jpg#0r1n,2.0
484443289.jpg#0r1e,2.0
484443289.jpg#0r1c,1.0
3544654074.jpg#2r1n,1.0
3544654074.jpg#2r1e,2.0
3544654074.jpg#2r1c,1.0
4796753895.jpg#1r1c,0.0
4796753895.jpg#1r1e,2.0
4796753895.jpg#1r1n,2.0
4479330885.jpg#3r1e,1.0
4479330885.jpg#3r1c,0.0
4479330885.jpg#3r1n,1.0
3419238351.jpg#0r1n,2.0
3419238351.jpg#0r1e,2.0
3419238351.jpg#0r1c,0.0
4715587253.jpg#3r1e,2.0
4715587253.jpg#3r1c,1.0
4715587253.jpg#3r1n,2.0
3126681108.jpg#1r1c,1.0
3126681108.jpg#1r1n,0.0
3126681108.jpg#1r1e,1.0
2770821714.jpg#2r1n,2.0
2770821714.jpg#2r1e,0.0
2770821714.jpg#2r1c,2.0
535179217.jpg#1r1e,0.0
535179217.jpg#1r1n,1.0
535179217.jpg#1r1c,0.0
764507.jpg#3r1n,1.0
764507.jpg#3r1c,2.0
764507.jpg#3r1e,2.0
2286270205.jpg#3r1c,0.0
2286270205.jpg#3r1e,1.0
2286270205.jpg#3r1n,0.0
4777826385.jpg#0r1n,1.0
4777826385.jpg#0r1c,2.0
4777826385.jpg#0r1e,2.0
3944497603.jpg#2r1c,0.0
3944497603.jpg#2r1e,1.0
3944497603.jpg#2r1n,2.0
2592711202.jpg#3r1n,1.0
2592711202.jpg#3r1c,0.0
2592711202.jpg#3r1e,0.0
6935146937.jpg#1r1n,1.0
6935146937.jpg#1r1e,2.0
6935146937.jpg#1r1c,1.0
6935146937.jpg#0r1c,2.0
6935146937.jpg#0r1e,0.0
6935146937.jpg#0r1n,1.0
4692746525.jpg#1r1e,2.0
4692746525.jpg#1r1n,0.0
4692746525.jpg#1r1c,1.0
2004326408.jpg#0r1e,0.0
2004326408.jpg#0r1n,2.0
2004326408.jpg#0r1c,0.0
5479743540.jpg#4r1e,0.0
5479743540.jpg#4r1c,1.0
5479743540.jpg#4r1n,2.0
5479743540.jpg#0r1n,0.0
5479743540.jpg#0r1c,2.0
5479743540.jpg#0r1e,2.0
2045127186.jpg#1r1n,1.0
2045127186.jpg#1r1c,2.0
2045127186.jpg#1r1e,2.0
2074244690.jpg#2r1c,0.0
2074244690.jpg#2r1e,0.0
2074244690.jpg#2r1n,1.0
273248777.jpg#0r1n,0.0
273248777.jpg#0r1e,1.0
273248777.jpg#0r1c,0.0
862177617.jpg#0r1n,0.0
862177617.jpg#0r1c,1.0
862177617.jpg#0r1e,1.0
7165193566.jpg#4r1c,0.0
7165193566.jpg#4r1n,1.0
7165193566.jpg#4r1e,0.0
4705094483.jpg#0r1n,0.0
4705094483.jpg#0r1c,1.0
4705094483.jpg#0r1e,2.0
24053752.jpg#0r1c,0.0
24053752.jpg#0r1n,1.0
24053752.jpg#0r1e,2.0
4733474874.jpg#0r1n,0.0
4733474874.jpg#0r1c,0.0
4733474874.jpg#0r1e,2.0
2464311348.jpg#4r1n,1.0
2464311348.jpg#4r1e,0.0
2464311348.jpg#4r1c,0.0
424047148.jpg#0r1n,0.0
424047148.jpg#0r1e,2.0
424047148.jpg#0r1c,0.0
15641879.jpg#3r1c,1.0
15641879.jpg#3r1n,1.0
15641879.jpg#3r1e,1.0
4678920190.jpg#3r1c,1.0
4678920190.jpg#3r1e,0.0
4678920190.jpg#3r1n,2.0
290650302.jpg#0r1e,1.0
290650302.jpg#0r1n,0.0
290650302.jpg#0r1c,1.0
4489833894.jpg#4r1n,2.0
4489833894.jpg#4r1e,2.0
4489833894.jpg#4r1c,1.0
3316725440.jpg#4r1e,0.0
3316725440.jpg#4r1n,2.0
3316725440.jpg#4r1c,2.0
664470170.jpg#0r1e,0.0
664470170.jpg#0r1c,0.0
664470170.jpg#0r1n,2.0
350630236.jpg#0r1n,0.0
350630236.jpg#0r1c,0.0
350630236.jpg#0r1e,2.0
2737097000.jpg#1r1n,0.0
2737097000.jpg#1r1e,1.0
2737097000.jpg#1r1c,2.0
6338544926.jpg#0r1n,2.0
6338544926.jpg#0r1c,1.0
6338544926.jpg#0r1e,2.0
6338544926.jpg#1r1n,1.0
6338544926.jpg#1r1c,1.0
6338544926.jpg#1r1e,2.0
76607426.jpg#4r1n,2.0
76607426.jpg#4r1e,2.0
76607426.jpg#4r1c,1.0
3199460792.jpg#1r1n,0.0
3199460792.jpg#1r1c,1.0
3199460792.jpg#1r1e,2.0
4774884519.jpg#0r1n,1.0
4774884519.jpg#0r1c,0.0
4774884519.jpg#0r1e,2.0
2483666380.jpg#2r1n,1.0
2483666380.jpg#2r1e,0.0
2483666380.jpg#2r1c,2.0
1457898867.jpg#4r1n,0.0
1457898867.jpg#4r1e,2.0
1457898867.jpg#4r1c,1.0
3653497668.jpg#4r1n,2.0
3653497668.jpg#4r1c,2.0
3653497668.jpg#4r1e,0.0
2280438093.jpg#1r1e,2.0
2280438093.jpg#1r1c,1.0
2280438093.jpg#1r1n,1.0
5400154.jpg#3r1c,0.0
5400154.jpg#3r1n,0.0
5400154.jpg#3r1e,2.0
4702657446.jpg#0r1e,2.0
4702657446.jpg#0r1c,1.0
1333888922.jpg#1r1c,1.0
1333888922.jpg#1r1e,0.0
1333888922.jpg#1r1n,0.0
2652382453.jpg#2r1e,0.0
2652382453.jpg#2r1c,1.0
2652382453.jpg#2r1n,1.0
272471327.jpg#0r1e,0.0
272471327.jpg#0r1n,1.0
272471327.jpg#0r1c,0.0
2425411995.jpg#2r1e,1.0
2425411995.jpg#2r1n,1.0
2425411995.jpg#2r1c,1.0
7700080224.jpg#4r1n,0.0
7700080224.jpg#4r1c,2.0
7700080224.jpg#4r1e,1.0
7700080224.jpg#0r1e,1.0
7700080224.jpg#0r1n,1.0
7700080224.jpg#0r1c,2.0
4914029409.jpg#0r1n,1.0
4914029409.jpg#0r1c,1.0
4914029409.jpg#0r1e,0.0
4914029409.jpg#1r1n,1.0
4914029409.jpg#1r1c,1.0
4914029409.jpg#1r1e,2.0
3091754891.jpg#4r1e,0.0
3091754891.jpg#4r1c,2.0
3091754891.jpg#4r1n,0.0
2749755023.jpg#4r1e,1.0
2749755023.jpg#4r1n,0.0
2749755023.jpg#4r1c,2.0
7113652429.jpg#0r1n,1.0
7113652429.jpg#0r1c,2.0
